# v27: post v0.21.88 (task 26: full-contest conditional-b binary skip)
# — sqlite brotli q11 T 3.38 -> 3.0 via a 3/3-consistent -10.5% user-CPU
# A/B at load 8.75; corpus q10/q11 byte-identical. All other cells
# carried byte-identical from v26.
# Columns: file codec lvl T(x) S(x) I size-ours/ref [bad]
file           codec   lvl    T(x)   S(x)        I  size ours/ref
rfc.txt         brotli      11   4.0x  1.014    4.1  6637/6548
words.txt       zstd         1   3.65x  1.002    3.7  891731/889781 bad
fits4m.bin     brotli  11   3.4x  1.001    3.4  1486714/1485934
sqlite.db       brotli      11   3.0x  0.987    3.0  40753/41300 bad
plists.json    brotli   5   2.8x  1.017    2.8  130608/128457
dbdump.txt     brotli   5   2.8x  0.999    2.8  68201/68296
fits4m.bin      zstd         6   2.6x  1.044    2.7  2877070/2756233 bad
rustsrc.txt     zstd         1   2.64x  1.003    2.6  562973/561447 bad
csv2m.bin       brotli      11   3.26x  0.796    2.6  119038/149577
install.log    brotli   5   2.5x  1.000    2.5  17203/17210
fits4m.bin      zstd         1   2.4x  0.994    2.4  3576462/3596632 bad
dbdump.txt      zstd        19   2.33x  1.002    2.3  62911/62789
csv2m.bin       zstd        19   2.43x  0.925    2.2  152843/165209
icons.svg      brotli   5   2.1x  0.998    2.1  32944/33000
fits4m.bin     brotli   5   2.2x  0.939    2.1  2640685/2812411
csv2m.bin       zstd         1   1.98x  0.996    2.0  335889/337329 bad
noto-otf.bin    brotli      11   2.01x  1.005    2.0  79717/79338
sqlite.db      brotli   9   2.0x  0.994    2.0  53320/53658
rfc.txt         brotli       9   1.96x  1.016    2.0  7691/7568
words.txt      brotli   5   2.0x  0.974    1.9  745060/765030
rustsrc.txt    brotli   5   1.9x  1.012    1.9  439696/434324
words.txt       zstd        19   1.95x  1.0    1.9  661976/661927
noto-otf.bin    zstd        19   1.73x  1.003    1.7  86520/86300
noto-otf.bin   brotli   5   1.7x  1.021    1.7  89978/88166
rfc.txt        brotli   5   1.7x  1.017    1.7  7736/7609
sqlite.db      brotli   5   1.7x  0.994    1.7  54459/54782
rustsrc.txt     brotli       9   1.65x  1.04    1.7  429875/413259
csv2m.bin       zstd         6   1.61x  0.972    1.6  315839/324867
words.txt       brotli       9   1.62x  0.99    1.6  742445/749779
rustsrc.txt     zstd         6   1.52x  1.009    1.5  448258/444132
plists.json     zstd         1   1.5x  0.987    1.5  154392/156468 bad
icons.svg       zstd        19   1.5x  1.0    1.5  28443/28440
install.log     brotli       9   1.41x  1.016    1.4  16956/16688
sqlite.db       zstd        19   1.44x  1.0    1.4  52613/52626
fits4m.bin      zstd        19   1.4x  0.996    1.4  1957692/1966084
words.txt       zstd         6   1.4x  1.004    1.4  770459/767497
csv2m.bin      brotli   5   1.8x  0.804    1.4  200437/249366
dbdump.txt     brotli   9   1.4x  1.023    1.4  68134/66596
plists.json     zstd        19   1.4x  1.003    1.4  121957/121542
words.txt      brotli  11   1.4x  1.003    1.4  652066/649943
install.log     zstd        19   1.4x  0.994    1.4  15972/16068
noto-otf.bin    brotli       9   1.3x  1.029    1.3  88873/86404 bad
plists.json    brotli  11   1.3x  1.024    1.3  107235/104745
icons.svg      brotli   9   1.3x  1.035    1.3  32411/31329
rustsrc.txt    brotli  11   1.3x  1.010    1.3  377440/373844
rustsrc.txt     zstd        19   1.3x  1.002    1.3  388345/387563
plists.json    brotli   1   1.3x  0.995    1.3  165864/166739
fits4m.bin      brotli       9   1.37x  0.955    1.3  2350487/2462397
plists.json     brotli       9   1.24x  1.068    1.3  132934/124455
plists.json     zstd         6   1.12x  1.03    1.2  140659/136576
csv2m.bin      brotli   1   1.2x  1.000    1.2  424644/424510
words.txt      brotli   1   1.2x  0.997    1.2  876360/878851
rustsrc.txt    brotli   1   1.2x  0.987    1.2  559823/567123
csv2m.bin       brotli       9   1.47x  0.797    1.2  204167/256273
install.log    brotli  11   1.1x  1.007    1.1  14951/14850
dbdump.txt     brotli  11   1.1x  1.005    1.1  53306/53040
dbdump.txt      zstd         1   0.96x  0.999    1.0  76066/76110
icons.svg       brotli      11   0.97x  1.015    1.0  26174/25785
rfc.txt         zstd        19   0.98x  1.0    1.0  7747/7747
fits4m.bin     brotli   1   1.0x  1.000    1.0  3797978/3797977
dbdump.txt      zstd         6   0.88x  0.994    0.9  72772/73221
sqlite.db       zstd         6   0.78x  0.992    0.8  60600/61106
sqlite.db       zstd         1   0.85x  0.992    0.8  64909/65443
icons.svg      brotli   1   0.8x  1.000    0.8  43610/43609
dbdump.txt     brotli   1   0.8x  0.997    0.8  90955/91210
noto-otf.bin    zstd         6   0.67x  1.0    0.7  92847/92880
noto-otf.bin    zstd         1   0.62x  1.0    0.6  100973/100948
icons.svg       zstd         1   0.56x  1.002    0.6  36222/36138
icons.svg       zstd         6   0.59x  1.004    0.6  33989/33837
sqlite.db      brotli   1   0.6x  1.000    0.6  70958/70958
noto-otf.bin   brotli   1   0.6x  1.000    0.6  104226/104227
install.log     zstd         6   0.42x  0.999    0.4  17865/17882
install.log     zstd         1   0.42x  0.999    0.4  20923/20953
rfc.txt         zstd         6   0.0x  1.0    0.0  8057/8055
install.log    brotli   1   0.0x  1.000    0.0  23493/23493
rfc.txt         zstd         1   0.0x  1.0    0.0  8796/8797
rfc.txt        brotli   1   0.0x  0.969    0.0  9075/9370
