# v34: task 37 — the treecap dead-emission skip. The tree-cap
# refinement re-measured the whole metablock under a smaller literal-
# tree cap, but the cap only feeds the cmap_a clustering path; when the
# assignment winner is R/B/C the re-measure is byte-identical BY
# CONSTRUCTION — on fits q11 the R option (245-tree cluster_histograms)
# wins every emission, so the second full literal split (16,407-block
# DP + 4117-centroid combine, half the encode) produced identical bits
# every time. Emission.rs now records whether the winner was cap-
# sensitive; both treecap sites skip when not. Corpus q9/10/11: all 33
# cells byte-identical. fits q11 T 3.4->1.90 (user 46.6->24.5s vs ref
# 12.9s), words q11 1.4->1.17 (below the 1.3 bar), fits q10 52.8->27.3s
# (untracked column). noto/sqlite/rustsrc q11 unchanged (their winner
# IS the a-path — treecap still fires there and still wins noto).
# Cells above 1.3: 44->43 by strict parse of this table (v33's header
# claimed 41 under its own counting rule; same-rule delta here is -1,
# words q11 crossing under the bar — fits q11 3.4->1.9 stays above).
# BROTLI_TREECAP_ALL restores.
# Columns: file codec lvl T(x) S(x) I size ours/ref [bad]
file           codec   lvl    T(x)   S(x)        I  size ours/ref
rfc.txt           zstd   6    0.0     1.0   0.0  8057/8055
rfc.txt           zstd   1    0.0     1.0   0.0  8796/8797
install.log       zstd   6   0.42   0.999   0.4  17865/17882
install.log       zstd   1   0.42   0.999   0.4  20923/20953
noto-otf.bin      zstd   1   0.62     1.0   0.6  100973/100948
icons.svg         zstd   1   0.56   1.002   0.6  36222/36138
icons.svg         zstd   6   0.59   1.004   0.6  33989/33837
noto-otf.bin      zstd   6   0.67     1.0   0.7  92847/92880
sqlite.db         zstd   6   0.78   0.992   0.8  60600/61106
sqlite.db         zstd   1   0.85   0.992   0.8  64909/65443
dbdump.txt        zstd   6   0.88   0.994   0.9  72772/73221
dbdump.txt        zstd   1   0.96   0.999   1.0  76066/76110
icons.svg       brotli  11   0.97   1.015   1.0  26174/25785
rfc.txt           zstd  19   0.98     1.0   1.0  7747/7747
rfc.txt         brotli   1   1.05   0.969   1.0  9075/9370
install.log     brotli  11    1.1   1.007   1.1  14951/14850
dbdump.txt      brotli  11    1.1   1.005   1.1  53306/53040
install.log     brotli   1   1.14     1.0   1.1  23493/23493
words.txt       brotli  11  1.17x   1.003   1.2  652066/649943
plists.json       zstd   6   1.12    1.03   1.2  140659/136576
csv2m.bin       brotli   9   1.47   0.797   1.2  204167/256273
fits4m.bin      brotli   1   1.22     1.0   1.2  3797978/3797977
icons.svg       brotli   1   1.18     1.0   1.2  43610/43609
dbdump.txt      brotli   1   1.24   0.997   1.2  90955/91210
sqlite.db       brotli   1   1.24     1.0   1.2  70958/70958
noto-otf.bin    brotli   1   1.16     1.0   1.2  104226/104227
noto-otf.bin    brotli   9    1.3   1.029   1.3  88873/86404 bad
plists.json     brotli  11    1.3   1.024   1.3  107235/104745
icons.svg       brotli   9    1.3   1.035   1.3  32411/31329
rustsrc.txt     brotli  11    1.3   1.010   1.3  377440/373844
rustsrc.txt       zstd  19    1.3   1.002   1.3  388345/387563
plists.json     brotli   1    1.3   0.995   1.3  165864/166739
fits4m.bin      brotli   9   1.37   0.955   1.3  2350487/2462397
plists.json     brotli   9   1.24   1.068   1.3  132934/124455
install.log     brotli   9   1.41   1.016   1.4  16956/16688
sqlite.db         zstd  19   1.44     1.0   1.4  52613/52626
fits4m.bin        zstd  19    1.4   0.996   1.4  1957692/1966084
words.txt         zstd   6    1.4   1.004   1.4  770459/767497
dbdump.txt      brotli   9    1.4   1.023   1.4  68134/66596
plists.json       zstd  19    1.4   1.003   1.4  121957/121542
install.log       zstd  19    1.4   0.994   1.4  15972/16068
csv2m.bin       brotli   1    1.4     1.0   1.4  424644/424510
words.txt       brotli   1   1.37   0.997   1.4  876360/878851
rustsrc.txt     brotli   1   1.46   0.987   1.4  559823/567123
sqlite.db       brotli   5   1.51   0.994   1.5  54459/54782
rustsrc.txt       zstd   6   1.52   1.009   1.5  448258/444132
plists.json       zstd   1    1.5   0.987   1.5  154392/156468 bad
icons.svg         zstd  19    1.5     1.0   1.5  28443/28440
noto-otf.bin    brotli   5   1.59   1.021   1.6  89978/88166
csv2m.bin         zstd   6   1.61   0.972   1.6  315839/324867
words.txt       brotli   9   1.62    0.99   1.6  742445/749779
fits4m.bin      brotli   5   1.83   0.939   1.7  2640685/2812411
noto-otf.bin      zstd  19   1.73   1.003   1.7  86520/86300
rustsrc.txt     brotli   9   1.65    1.04   1.7  429875/413259
fits4m.bin      brotli  11   1.9x   1.001   1.9  1486714/1485934
rfc.txt         brotli   5   1.85   1.012   1.9  7700/7609
words.txt         zstd  19   1.95     1.0   1.9  661976/661927
rfc.txt         brotli  11   1.99   1.014   2.0  6637/6548
csv2m.bin         zstd   1   1.98   0.996   2.0  335889/337329 bad
noto-otf.bin    brotli  11   2.01   1.005   2.0  79717/79338
sqlite.db       brotli   9    2.0   0.994   2.0  53320/53658
rfc.txt         brotli   9   1.96   1.016   2.0  7691/7568
plists.json     brotli   5   2.09   1.014   2.1  130259/128457
csv2m.bin       brotli   5   2.63   0.803   2.1  200202/249366
words.txt       brotli   5    2.3   0.972   2.2  743632/765030
rustsrc.txt     brotli   5    2.2   1.012   2.2  439625/434324
csv2m.bin         zstd  19   2.43   0.925   2.2  152843/165209
dbdump.txt      brotli   5   2.28   0.989   2.3  67517/68296
install.log     brotli   5   2.35    0.99   2.3  17036/17210
icons.svg       brotli   5   2.35   0.997   2.3  32905/33000
dbdump.txt        zstd  19   2.33   1.002   2.3  62911/62789
sqlite.db       brotli  11   2.46   0.987   2.4  40753/41300 bad
fits4m.bin        zstd   1    2.4   0.994   2.4  3576462/3596632 bad
rustsrc.txt       zstd   1   2.64   1.003   2.6  562973/561447 bad
csv2m.bin       brotli  11   3.26   0.796   2.6  119038/149577
fits4m.bin        zstd   6    2.6   1.044   2.7  2877070/2756233 bad
words.txt         zstd   1   3.65   1.002   3.7  891731/889781 bad
