# v36: task 39 — treecap reachability margin (a_bits within 8.3% of
# the winner, else the re-measure cannot fire) + the fresh quiet-load
# (8) re-score of the brotli q11 column post task 38. csv2m q11
# I 2.6 -> 1.27 (UNDER the 1.3 bar); fits 0.6; words 1.18; dbdump 1.10;
# rustsrc 1.33 at the line; plists 1.39. Remaining brotli >1.3:
# sqlite 2.30 / noto 1.96 (two legit emissions at the per-op floor),
# rfc (sub-100ms class). ALSO: task 38's unswept q10 column measured —
# csv2m q10 -14.6% (better clustering), fits -0.31%, rest ~0.
# 22/22 q10+q11 cells byte-identical to v0.21.93.
# Columns: file codec lvl T(x) S(x) I size ours/ref [bad]
file           codec   lvl    T(x)   S(x)        I  size ours/ref
rfc.txt           zstd   6    0.0x     1.0   0.0  8057/8055
rfc.txt           zstd   1    0.0x     1.0   0.0  8796/8797
install.log       zstd   6   0.42x   0.999   0.4  17865/17882
install.log       zstd   1   0.42x   0.999   0.4  20923/20953
noto-otf.bin      zstd   1   0.62x     1.0   0.6  100973/100948
icons.svg         zstd   1   0.56x   1.002   0.6  36222/36138
icons.svg         zstd   6   0.59x   1.004   0.6  33989/33837
fits4m.bin      brotli  11  0.59xx   1.001   0.6  1486714/1485934
noto-otf.bin      zstd   6   0.67x     1.0   0.7  92847/92880
sqlite.db         zstd   6   0.78x   0.992   0.8  60600/61106
sqlite.db         zstd   1   0.85x   0.992   0.8  64909/65443
dbdump.txt        zstd   6   0.88x   0.994   0.9  72772/73221
dbdump.txt        zstd   1   0.96x   0.999   1.0  76066/76110
icons.svg       brotli  11   0.97x   1.015   1.0  26174/25785
rfc.txt           zstd  19   0.98x     1.0   1.0  7747/7747
rfc.txt         brotli   1   1.05x   0.969   1.0  9075/9370
fits4m.bin      brotli   9  1.09xx   0.955   1.0  2350487/2462397
install.log     brotli  11    1.1x   1.007   1.1  14951/14850
dbdump.txt      brotli  11    1.1x   1.005   1.1  53306/53040
install.log     brotli   1   1.14x     1.0   1.1  23493/23493
words.txt       brotli  11  1.18xx   1.003   1.2  652066/649943
plists.json       zstd   6   1.12x    1.03   1.2  140659/136576
csv2m.bin       brotli   9   1.47x   0.797   1.2  204167/256273
fits4m.bin      brotli   1   1.22x     1.0   1.2  3797978/3797977
