# v37: task 41 — the owner-authorized q5 tier trade. q5 rides the
# two-pass fragment tier (q1's algorithm) at memory speed: the whole
# q5 column lands I 0.12-0.43 (was 2.1-2.5; no per-position tier
# crossed 1.3 — task 40's measurements). COST: q5 output is now
# byte-equal to q1 (S 1.15-1.70 vs the greedy's 0.80-1.01); q5 no
# longer smaller than q4. BROTLI_NO_TP_Q5 restores. Small-file T via
# the loop canon both sides. q4 keeps greedy (slower AND smaller than
# q5 now — ladder note in task 41).
# Cells >1.3: 41 -> 31; median recomputed below.
# Columns: file codec lvl T(x) S(x) I size ours/ref [bad]
file           codec   lvl    T(x)   S(x)        I  size ours/ref
rfc.txt           zstd   6    0.0x     1.0   0.0  8057/8055
rfc.txt           zstd   1    0.0x     1.0   0.0  8796/8797
fits4m.bin      brotli   5  0.09xx   1.350  0.12  2640685/2812411
words.txt       brotli   5  0.17xx   1.146  0.19  743632/765030
csv2m.bin       brotli   5  0.13xx   1.703   0.2  200202/249366
dbdump.txt      brotli   5  0.26xx   1.332  0.35  67517/68296
install.log       zstd   6   0.42x   0.999   0.4  17865/17882
install.log       zstd   1   0.42x   0.999   0.4  20923/20953
rustsrc.txt     brotli   5  0.33xx   1.289  0.43  439625/434324
noto-otf.bin      zstd   1   0.62x     1.0   0.6  100973/100948
icons.svg         zstd   1   0.56x   1.002   0.6  36222/36138
icons.svg         zstd   6   0.59x   1.004   0.6  33989/33837
fits4m.bin      brotli  11  0.59xx   1.001   0.6  1486714/1485934
noto-otf.bin      zstd   6   0.67x     1.0   0.7  92847/92880
sqlite.db         zstd   6   0.78x   0.992   0.8  60600/61106
sqlite.db         zstd   1   0.85x   0.992   0.8  64909/65443
dbdump.txt        zstd   6   0.88x   0.994   0.9  72772/73221
dbdump.txt        zstd   1   0.96x   0.999   1.0  76066/76110
icons.svg       brotli  11   0.97x   1.015   1.0  26174/25785
rfc.txt           zstd  19   0.98x     1.0   1.0  7747/7747
rfc.txt         brotli   1   1.05x   0.969   1.0  9075/9370
fits4m.bin      brotli   9  1.09xx   0.955   1.0  2350487/2462397
install.log     brotli  11    1.1x   1.007   1.1  14951/14850
dbdump.txt      brotli  11    1.1x   1.005   1.1  53306/53040
