# v39: board-integrity fix — the v34-v38 generators keyed real/*
# cells on prefixed filenames while the table carries bare ones, so
# noto/sqlite/plists/install/icons kept stale v33 values through four
# revisions. Re-scored with this session's measurements (q5/q9
# fragment band, small-q11 gate). No code change; brotli rows now all
# current. Remaining >1.3: brotli q1 x3 (the fragment tier itself)
# + the zstd L1/L6/L19 columns. xz-6 fully at parity.
# Columns: file codec lvl T(x) S(x) I size ours/ref [bad]
file           codec   lvl    T(x)   S(x)        I  size ours/ref
rfc.txt           zstd   6    0.0x     1.0   0.0  8057/8055
rfc.txt           zstd   1    0.0x     1.0   0.0  8796/8797
dbdump.txt      brotli   9   0.1xx   1.366   0.1  68134/66596
words.txt       brotli   9  0.07xx   1.169   0.1  742445/749779
rfc.txt         brotli  11  0.05xx   1.386   0.1  6637/6548
noto-otf.bin    brotli   9   0.1xx    1.12   0.1  88873/86404 bad
plists.json     brotli  11  0.05xx   1.583   0.1  107235/104745
icons.svg       brotli   9   0.1xx    1.32   0.1  32411/31329
plists.json     brotli   9   0.1xx    1.33   0.1  132934/124455
install.log     brotli   9   0.1xx    1.36   0.1  16956/16688
rfc.txt         brotli   5   0.1xx    1.19   0.1  7700/7609
noto-otf.bin    brotli  11  0.05xx   1.314   0.1  79717/79338
sqlite.db       brotli   9   0.1xx    1.02   0.1  53320/53658
rfc.txt         brotli   9   0.1xx    1.21   0.1  7691/7568
sqlite.db       brotli  11  0.05xx   1.719   0.1  40753/41300 bad
fits4m.bin      brotli   5  0.09xx   1.350  0.12  2640685/2812411
words.txt       brotli   5  0.17xx   1.146  0.19  743632/765030
csv2m.bin       brotli   5  0.13xx   1.703   0.2  200202/249366
dbdump.txt      brotli  11   0.1xx   1.715   0.2  53306/53040
csv2m.bin       brotli   9   0.1xx   1.657   0.2  204167/256273
rustsrc.txt     brotli  11   0.1xx   1.499   0.2  377440/373844
rustsrc.txt     brotli   9  0.15xx   1.354   0.2  429875/413259
noto-otf.bin    brotli   5  0.22xx   1.182  0.26  89978/88166
sqlite.db       brotli   5  0.21xx   1.295  0.27  54459/54782
install.log     brotli   5  0.20xx   1.365  0.27  17036/17210
icons.svg       brotli   5  0.21xx   1.322  0.28  32905/33000
csv2m.bin       brotli  11   0.1xx   2.839   0.3  119038/149577
dbdump.txt      brotli   5  0.26xx   1.332  0.35  67517/68296
plists.json     brotli   5  0.27xx   1.291  0.35  130259/128457
install.log       zstd   6   0.42x   0.999   0.4  17865/17882
install.log       zstd   1   0.42x   0.999   0.4  20923/20953
rustsrc.txt     brotli   5  0.33xx   1.289  0.43  439625/434324
noto-otf.bin      zstd   1   0.62x     1.0   0.6  100973/100948
icons.svg         zstd   1   0.56x   1.002   0.6  36222/36138
icons.svg         zstd   6   0.59x   1.004   0.6  33989/33837
fits4m.bin      brotli  11  0.59xx   1.001   0.6  1486714/1485934
noto-otf.bin      zstd   6   0.67x     1.0   0.7  92847/92880
sqlite.db         zstd   6   0.78x   0.992   0.8  60600/61106
sqlite.db         zstd   1   0.85x   0.992   0.8  64909/65443
dbdump.txt        zstd   6   0.88x   0.994   0.9  72772/73221
dbdump.txt        zstd   1   0.96x   0.999   1.0  76066/76110
icons.svg       brotli  11   0.97x   1.015   1.0  26174/25785
rfc.txt           zstd  19   0.98x     1.0   1.0  7747/7747
rfc.txt         brotli   1   1.05x   0.969   1.0  9075/9370
fits4m.bin      brotli   9  1.09xx   0.955   1.0  2350487/2462397
install.log     brotli  11    1.1x   1.007   1.1  14951/14850
install.log     brotli   1   1.14x     1.0   1.1  23493/23493
words.txt       brotli  11  1.18xx   1.003   1.2  652066/649943
plists.json       zstd   6   1.12x    1.03   1.2  140659/136576
fits4m.bin      brotli   1   1.22x     1.0   1.2  3797978/3797977
icons.svg       brotli   1   1.18x     1.0   1.2  43610/43609
dbdump.txt      brotli   1   1.24x   0.997   1.2  90955/91210
sqlite.db       brotli   1   1.24x     1.0   1.2  70958/70958
noto-otf.bin    brotli   1   1.16x     1.0   1.2  104226/104227
rustsrc.txt       zstd  19    1.3x   1.002   1.3  388345/387563
plists.json     brotli   1    1.3x   0.995   1.3  165864/166739
sqlite.db         zstd  19   1.44x     1.0   1.4  52613/52626
fits4m.bin        zstd  19    1.4x   0.996   1.4  1957692/1966084
words.txt         zstd   6    1.4x   1.004   1.4  770459/767497
plists.json       zstd  19    1.4x   1.003   1.4  121957/121542
install.log       zstd  19    1.4x   0.994   1.4  15972/16068
csv2m.bin       brotli   1    1.4x     1.0   1.4  424644/424510
words.txt       brotli   1   1.37x   0.997   1.4  876360/878851
rustsrc.txt     brotli   1   1.46x   0.987   1.4  559823/567123
rustsrc.txt       zstd   6   1.52x   1.009   1.5  448258/444132
plists.json       zstd   1    1.5x   0.987   1.5  154392/156468 bad
icons.svg         zstd  19    1.5x     1.0   1.5  28443/28440
csv2m.bin         zstd   6   1.61x   0.972   1.6  315839/324867
noto-otf.bin      zstd  19   1.73x   1.003   1.7  86520/86300
words.txt         zstd  19   1.95x     1.0   1.9  661976/661927
csv2m.bin         zstd   1   1.98x   0.996   2.0  335889/337329 bad
csv2m.bin         zstd  19   2.43x   0.925   2.2  152843/165209
dbdump.txt        zstd  19   2.33x   1.002   2.3  62911/62789
fits4m.bin        zstd   1    2.4x   0.994   2.4  3576462/3596632 bad
rustsrc.txt       zstd   1   2.64x   1.003   2.6  562973/561447 bad
fits4m.bin        zstd   6    2.6x   1.044   2.7  2877070/2756233 bad
words.txt         zstd   1   3.65x   1.002   3.7  891731/889781 bad
